ID,Etapa,Avance_%,Origen,Actividades_afectadas,Actividad_critica,Magnitud,Dias_adicionales
C001,Construcción,65.0,Cliente,6,Sí,Media,8
C002,Diseño,35.0,Ingeniería/Diseño,3,No,Baja,0
C003,Construcción,78.0,Cliente,10,Sí,Media,8
C004,Diseño,20.0,Ingeniería/Diseño,8,No,Media,3
C005,Construcción,55.0,Normativo/Entidad,4,Sí,Media,6
C006,Construcción,85.0,Construcción/Obra,2,No,Baja,9
C007,Diseño,45.0,Cliente,12,Sí,Alta,3
C008,Cierre,92.0,Ingeniería/Diseño,3,No,Baja,4
C009,Construcción,30.0,Cliente,15,Sí,Alta,11
C010,Construcción,70.0,Normativo/Entidad,7,No,Media,6
C011,Construcción,12.9,Ingeniería/Diseño,12,No,Baja,9
C012,Construcción,68.6,Cliente,2,Sí,Alta,21
C013,Construcción,74.8,Ingeniería/Diseño,12,Sí,Alta,24
C014,Diseño,74.7,Ingeniería/Diseño,4,No,Media,7
C015,Construcción,69.7,Ingeniería/Diseño,20,Sí,Media,24
C016,Diseño,6.1,Ingeniería/Diseño,3,Sí,Media,11
C017,Diseño,34.2,Ingeniería/Diseño,20,No,Media,18
C018,Diseño,34.4,Ingeniería/Diseño,4,Sí,Media,12
C019,Construcción,77.0,Cliente,5,No,Baja,12
C020,Construcción,59.9,Ingeniería/Diseño,16,No,Media,16
C021,Diseño,32.3,Normativo/Entidad,5,No,Media,9
C022,Construcción,35.0,Ingeniería/Diseño,6,No,Baja,6
C023,Construcción,36.5,Construcción/Obra,13,No,Alta,13
C024,Construcción,74.7,Ingeniería/Diseño,1,No,Alta,13
C025,Diseño,95.1,Ingeniería/Diseño,20,No,Media,4
C026,Construcción,66.3,Ingeniería/Diseño,8,Sí,Baja,10
C027,Diseño,79.3,Ingeniería/Diseño,11,No,Media,8
C028,Construcción,58.6,Ingeniería/Diseño,8,No,Baja,18
C029,Construcción,27.5,Ingeniería/Diseño,2,No,Alta,13
C030,Construcción,69.5,Ingeniería/Diseño,7,No,Media,15
C031,Diseño,98.8,Ingeniería/Diseño,17,Sí,Media,17
C032,Construcción,47.3,Cliente,2,No,Baja,11
C033,Construcción,3.4,Cliente,7,No,Media,11
C034,Construcción,69.4,Construcción/Obra,1,Sí,Baja,13
C035,Construcción,58.7,Ingeniería/Diseño,1,Sí,Alta,28
C036,Construcción,30.0,Cliente,9,No,Alta,22
C037,Construcción,39.9,Cliente,5,Sí,Alta,20
C038,Construcción,66.6,Ingeniería/Diseño,4,Sí,Baja,22
C039,Construcción,82.9,Ingeniería/Diseño,18,No,Media,15
C040,Construcción,16.8,Cliente,1,Sí,Alta,19
C041,Construcción,43.9,Normativo/Entidad,1,Sí,Media,11
C042,Diseño,49.1,Construcción/Obra,3,No,Baja,6
C043,Diseño,72.2,Construcción/Obra,1,No,Alta,14
C044,Diseño,93.9,Normativo/Entidad,2,Sí,Alta,16
C045,Construcción,89.7,Cliente,7,No,Media,13
C046,Construcción,6.2,Construcción/Obra,12,No,Media,7
C047,Cierre,4.5,Normativo/Entidad,14,No,Baja,6
C048,Diseño,46.7,Ingeniería/Diseño,4,No,Media,9
C049,Cierre,92.1,Cliente,8,No,Media,18
C050,Construcción,13.6,Cliente,16,No,Media,13
C051,Diseño,6.4,Cliente,3,No,Alta,5
C052,Construcción,83.8,Normativo/Entidad,3,No,Media,9
C053,Construcción,66.6,Construcción/Obra,4,Sí,Media,22
C054,Diseño,95.5,Cliente,9,Sí,Baja,15
C055,Construcción,70.3,Cliente,6,No,Alta,17
C056,Diseño,61.9,Ingeniería/Diseño,5,Sí,Media,19
C057,Construcción,99.6,Ingeniería/Diseño,9,Sí,Media,16
C058,Cierre,28.8,Normativo/Entidad,1,Sí,Alta,22
C059,Construcción,67.5,Construcción/Obra,10,No,Baja,18
C060,Construcción,73.4,Construcción/Obra,12,No,Alta,20
C061,Construcción,95.2,Cliente,2,No,Alta,17
C062,Cierre,96.2,Construcción/Obra,2,Sí,Baja,15
C063,Construcción,45.0,Ingeniería/Diseño,4,No,Baja,8
C064,Diseño,12.8,Normativo/Entidad,17,Sí,Media,9
C065,Diseño,94.3,Cliente,20,No,Baja,6
C066,Cierre,18.5,Ingeniería/Diseño,7,No,Media,11
C067,Construcción,6.7,Cliente,8,Sí,Media,21
C068,Diseño,13.7,Cliente,14,No,Baja,0
C069,Diseño,35.6,Ingeniería/Diseño,5,No,Baja,7
C070,Cierre,11.3,Cliente,10,No,Alta,15
C071,Diseño,38.7,Cliente,11,No,Media,10
C072,Diseño,27.9,Cliente,2,No,Alta,14
C073,Construcción,66.7,Ingeniería/Diseño,4,Sí,Alta,20
C074,Construcción,2.7,Ingeniería/Diseño,18,No,Alta,12
C075,Diseño,72.9,Ingeniería/Diseño,4,No,Baja,11
C076,Cierre,51.5,Normativo/Entidad,18,No,Media,13
C077,Diseño,63.2,Ingeniería/Diseño,6,Sí,Media,15
C078,Construcción,9.2,Cliente,8,No,Media,7
C079,Construcción,46.5,Ingeniería/Diseño,2,No,Baja,7
C080,Construcción,46.5,Ingeniería/Diseño,3,No,Baja,5
C081,Construcción,58.0,Construcción/Obra,7,Sí,Media,14
C082,Construcción,95.9,Cliente,4,No,Media,16
C083,Cierre,74.7,Normativo/Entidad,1,No,Media,17
C084,Cierre,81.8,Ingeniería/Diseño,19,No,Baja,16
C085,Construcción,81.4,Normativo/Entidad,10,No,Alta,17
C086,Construcción,57.0,Cliente,19,No,Media,19
C087,Construcción,71.7,Cliente,5,No,Media,14
C088,Construcción,67.2,Construcción/Obra,19,No,Baja,11
C089,Diseño,84.4,Ingeniería/Diseño,5,No,Media,8
C090,Construcción,97.2,Normativo/Entidad,18,Sí,Media,20
C091,Diseño,78.1,Construcción/Obra,3,Sí,Media,18
C092,Construcción,61.6,Cliente,13,No,Media,17
C093,Construcción,94.6,Normativo/Entidad,3,No,Media,20
C094,Cierre,95.6,Ingeniería/Diseño,11,Sí,Media,26
C095,Cierre,94.5,Normativo/Entidad,1,No,Alta,22
C096,Diseño,67.2,Cliente,6,Sí,Baja,7
C097,Construcción,47.2,Cliente,4,No,Media,14
C098,Diseño,21.2,Cliente,10,No,Baja,6
C099,Cierre,96.5,Cliente,5,Sí,Media,22
C100,Construcción,12.1,Cliente,7,No,Alta,20
C101,Diseño,11.2,Ingeniería/Diseño,19,Sí,Baja,11
C102,Construcción,37.5,Cliente,12,No,Baja,20
C103,Construcción,22.5,Ingeniería/Diseño,1,No,Media,12
C104,Construcción,79.9,Construcción/Obra,4,No,Alta,21
C105,Construcción,86.8,Normativo/Entidad,2,Sí,Baja,16
C106,Cierre,43.1,Normativo/Entidad,5,No,Media,15
C107,Construcción,44.7,Ingeniería/Diseño,7,No,Media,10
C108,Construcción,93.9,Construcción/Obra,3,Sí,Media,20
C109,Construcción,20.7,Ingeniería/Diseño,6,No,Baja,10
C110,Construcción,37.0,Cliente,18,Sí,Alta,21
C111,Construcción,81.1,Normativo/Entidad,6,No,Alta,27
C112,Diseño,74.1,Construcción/Obra,14,No,Media,8
C113,Diseño,41.9,Cliente,1,Sí,Media,12
C114,Construcción,24.0,Cliente,16,No,Alta,16
C115,Diseño,47.0,Normativo/Entidad,12,No,Media,9
C116,Construcción,82.9,Cliente,6,No,Media,16
C117,Diseño,12.2,Ingeniería/Diseño,1,Sí,Alta,13
C118,Construcción,73.4,Construcción/Obra,10,Sí,Baja,17
C119,Construcción,32.3,Cliente,8,Sí,Baja,11
C120,Construcción,68.1,Ingeniería/Diseño,2,No,Media,13
C121,Diseño,96.4,Cliente,19,No,Media,15
C122,Construcción,66.5,Construcción/Obra,9,No,Baja,5
C123,Construcción,39.5,Construcción/Obra,4,No,Media,5
C124,Construcción,41.9,Construcción/Obra,20,No,Alta,17
C125,Construcción,37.3,Cliente,9,Sí,Baja,12
C126,Construcción,68.4,Cliente,1,No,Baja,7
C127,Diseño,30.3,Cliente,1,No,Media,5
C128,Diseño,72.2,Construcción/Obra,3,No,Alta,18
C129,Construcción,66.5,Construcción/Obra,1,No,Media,10
C130,Diseño,1.5,Ingeniería/Diseño,9,No,Baja,3
